account_id,degree,in_degree,out_degree,betweenness_centrality,clustering_coefficient,is_on_any_cycle,num_connected_employees
100428660,844,2,420,1.1647310220918338e-05,0.0,False,0
1004286A8,244,2,120,2.0757582571933672e-06,0.0,False,0
1004286F0,36,0,18,0.0,0.0,False,0
100428738,106,0,53,0.0,0.0,False,0
100428780,70,0,35,0.0,0.0,False,0
1004287C8,96,0,48,0.0,0.0,False,0
100428810,158,0,79,0.0,0.0,False,0
1004288A0,30,2,13,1.1531990317740929e-07,0.0,False,0
100428930,44,0,22,0.0,0.0,False,0
100428978,14,0,7,0.0,0.0,False,0
1004289C0,42,0,21,0.0,0.0,False,0
800042CB0,40,0,20,0.0,0.0,False,0
800056370,343,26,143,1.6721385960724347e-06,0.0,False,1
800056660,323,23,136,9.225592254192743e-07,0.0,False,1
800056A50,263,2,127,0.0,0.0,False,1
800056CB0,284,2,138,0.0,0.0,False,1
800056E00,261,22,106,4.4974762239189625e-06,0.0,False,1
800057020,564,65,215,0.0,0.0,False,1
8000573C0,509,25,227,1.1531990317740928e-06,0.0,False,1
800057620,174,36,49,9.225592254192743e-07,0.0,False,1
800057A10,450,50,173,0.0,0.0,False,1
800057D40,441,18,200,2.594697821491709e-06,0.0,False,1
800057D41,8,0,2,0.0,0.0,False,1
800058100,270,23,110,0.0,0.0,False,1
800058470,572,28,256,8.648992738305697e-07,0.0,False,1
8000588D0,385,15,175,0.0,0.0,False,1
800058920,672,52,282,0.0,0.0,False,1
800058B80,795,43,352,0.0,0.0,False,1
800058F40,321,12,146,0.0,0.0,False,1
800059230,369,2,180,6.919194190644557e-07,0.0,False,1
800059440,426,37,174,6.861534239055852e-06,0.0,False,1
800059840,253,15,109,9.225592254192743e-07,0.0,False,1
800059C00,359,24,153,8.648992738305697e-07,0.0,True,1
800059F50,380,22,166,1.3838388381289115e-06,0.0,False,1
80005A2A0,564,45,235,1.7297985476611394e-06,0.0,False,1
80005A6B0,228,17,95,5.765995158870464e-07,0.0,False,1
80005AB30,273,2,132,0.0,0.0,False,1
80005AD90,347,5,166,1.61447864448373e-06,0.0,False,1
80005ADE0,616,27,279,1.61447864448373e-06,0.0,False,1
80005B110,310,27,126,1.4991587413063207e-06,0.0,False,1
80005B3E0,145,1,69,0.0,0.0,False,1
80005B5F0,288,44,98,0.0,0.0,False,1
80005B9B0,512,62,192,0.0,0.0,False,1
80005BD00,425,23,187,2.6523577730804137e-06,0.0,False,1
80005C050,355,53,122,3.690236901677097e-06,0.0,False,1
80005C0A0,368,43,139,0.0,0.0,False,1
80005C0A1,12,0,4,0.0,0.0,False,1
80005C3D0,396,46,150,2.0757582571933672e-06,0.0,False,1
80005C790,467,20,211,0.0,0.0,False,1
80005CB50,348,24,148,1.960438354015958e-06,0.0,False,1
80005CF10,282,39,100,2.3063980635481857e-06,0.0,False,1
8000625C0,28,0,14,0.0,0.0,False,0
800066070,4,0,2,0.0,0.0,False,0
800067BB0,2,1,0,0.0,0.0,False,0
800067DC0,4,2,0,0.0,0.0,False,0
800068890,2,1,0,0.0,0.0,False,0
800068B80,4,2,0,0.0,0.0,False,0
800068E90,2,1,0,0.0,0.0,False,0
800069180,2,1,0,0.0,0.0,False,0
8000691D0,2,1,0,0.0,0.0,False,0
800069740,2,1,0,0.0,0.0,False,0
800069DD0,2,1,0,0.0,0.0,False,0
80006A5E0,2,1,0,0.0,0.0,False,0
80006A8B0,4,2,0,0.0,0.0,False,0
80006B030,2,1,0,0.0,0.0,False,0
80006B080,4,2,0,0.0,0.0,False,0
80006B780,4,2,0,0.0,0.0,False,0
80006C1F0,2,1,0,0.0,0.0,False,0
80006C890,4,2,0,0.0,0.0,False,0
80006CB30,2,1,0,0.0,0.0,False,0
80006CD90,2,1,0,0.0,0.0,False,0
80006E160,6,3,0,0.0,0.0,False,0
80006E370,20,0,10,0.0,0.0,False,0
80006EA80,2,1,0,0.0,0.0,False,0
80006F380,4,2,0,0.0,0.0,False,0
80006F5E0,4,2,0,0.0,0.0,False,0
80006F9C0,2,1,0,0.0,0.0,False,0
80006FCE0,2,1,0,0.0,0.0,False,0
800070010,2,1,0,0.0,0.0,False,0
800070290,12,1,5,2.3063980635481857e-07,0.0,False,0
800070610,2,1,0,0.0,0.0,False,0
800070870,2,1,0,0.0,0.0,False,0
800070AD0,2,1,0,0.0,0.0,False,0
800071150,2,1,0,0.0,0.0,False,0
800071A10,4,2,0,0.0,0.0,False,0
800071D30,2,1,0,0.0,0.0,False,0
800072080,4,2,0,0.0,0.0,False,0
800072350,2,1,0,0.0,0.0,False,0
800072710,2,1,0,0.0,0.0,False,0
800072EF0,2,1,0,0.0,0.0,False,0
800072F40,2,1,0,0.0,0.0,False,0
800073360,2,1,0,0.0,0.0,False,0
800073750,2,1,0,0.0,0.0,False,0
800073AF0,2,1,0,0.0,0.0,False,0
8000746C0,4,2,0,0.0,0.0,False,0
8000748D0,6,3,0,0.0,0.0,False,0
8000748D1,2,1,0,0.0,0.0,False,0
800075050,2,1,0,0.0,0.0,False,0
8000750A0,2,1,0,0.0,0.0,False,0
800075700,2,1,0,0.0,0.0,False,0
800075C50,2,1,0,0.0,0.0,False,0
800075FF0,2,1,0,0.0,0.0,False,0
8000763B0,4,2,0,0.0,0.0,False,0
800076AD0,2,1,0,0.0,0.0,False,0
800076E90,2,1,0,0.0,0.0,False,0
8000776E0,2,1,0,0.0,0.0,False,0
800077AA0,2,1,0,0.0,0.0,False,0
800078B20,2,1,0,0.0,0.0,False,0
800078E70,4,2,0,0.0,0.0,False,0
800078F80,2,1,0,0.0,0.0,False,0
800079600,2,1,0,0.0,0.0,False,0
800079650,6,3,0,0.0,0.0,False,0
800079C00,2,1,0,0.0,0.0,False,0
80007A1D0,8,2,2,4.6127961270963714e-07,0.0,False,0
80007AA30,4,2,0,0.0,0.0,False,0
80007BF00,6,3,0,0.0,0.0,False,0
80007C2C0,2,1,0,0.0,0.0,False,0
80007C540,2,1,0,0.0,0.0,False,0
80007C890,2,1,0,0.0,0.0,False,0
80007D510,2,1,0,0.0,0.0,False,0
80007E0F0,2,1,0,0.0,0.0,False,0
80007E510,4,2,0,0.0,0.0,False,0
80007E720,2,1,0,0.0,0.0,False,0
80007EA70,2,1,0,0.0,0.0,False,0
80007F290,2,1,0,0.0,0.0,False,0
80007F8C0,6,3,0,0.0,0.0,False,0
80007FDD0,2,1,0,0.0,0.0,False,0
8000803F0,2,1,0,0.0,0.0,False,0
800080670,4,2,0,0.0,0.0,False,0
800080880,2,1,0,0.0,0.0,False,0
800081670,2,1,0,0.0,0.0,False,0
8000816C0,277,14,124,3.1136373857900506e-06,0.0,False,1
800081920,4,2,0,0.0,0.0,False,0
800081970,2,1,0,0.0,0.0,False,0
800081CA0,2,1,0,0.0,0.0,False,0
800082060,2,1,0,0.0,0.0,False,0
8000823F0,4,2,0,0.0,0.0,False,0
800082630,4,2,0,0.0,0.0,False,0
800082B40,2,1,0,0.0,0.0,False,0
800082ED0,2,1,0,0.0,0.0,False,0
800083220,2,1,0,0.0,0.0,False,0
8000837F0,2,1,0,0.0,0.0,False,0
800083E30,8,4,0,0.0,0.0,False,0
8000841A0,4,2,0,0.0,0.0,False,0
800084E50,2,1,0,0.0,0.0,False,0
8000851A0,4,2,0,0.0,0.0,False,0
800085BF0,431,37,176,1.8451184508385486e-06,0.007575757575757576,True,1
8000866B0,2,1,0,0.0,0.0,False,0
800086DC0,2,1,0,0.0,0.0,False,0
800087390,4,2,0,0.0,0.0,False,0
800087A50,6,3,0,0.0,0.0,False,0
800087DA0,2,1,0,0.0,0.0,False,0
800088440,2,1,0,0.0,0.0,False,0
